search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes,breadcrumb
sneakers,Nike,Men Court Vision Low Sneakers,https://www.myntra.com/casual-shoes/nike/nike-men-court-vision-low-sneakers/25144992/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25144992/2023/9/25/baf04161-799e-44c0-984d-5ab1f61ebe521695632299993NikeCourtVisionLowMenWovenDesignCasualSneakers1.jpg",MRP,MRP₹ 5695,"4.4
|
815 Ratings",No reviews,6 (In Stock); 7 (In Stock); 8 (In Stock); 9 (In Stock); 10 (In Stock); 11 (In Stock),
sneakers,Fame Forever by Lifestyle,Girls Sneakers,https://www.myntra.com/casual-shoes/fame+forever+by+lifestyle/fame-forever-by-lifestyle-girls-sneakers/32820342/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/FEBRUARY/19/L615AAVz_f0c1b8baddfb427cae7bd4d70c8299a1.jpg",MRP ₹1699,₹1104,"4.8
|
16 Ratings",Very comfortable shoes.,6-6.5Y (In Stock); 6.5-7Y (In Stock); 7-8Y (In Stock); 8-9Y (In Stock); 9-10Y (In Stock); 11-12Y (In Stock),
sneakers,Puma,Women Black Solid Sneakers,https://www.myntra.com/casual-shoes/puma/puma-women-black-solid-sneakers/19103746/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19103746/2022/10/20/6beb5702-7a42-4493-8266-6c888ad644a51666266597717-Ivana-Womens-Shoes-271666266597486-1.jpg",MRP ₹3999,₹1599,"4.4
|
455 Ratings",It's Good ?(Note Solid Sneakers )as expected and Guys Don't Expect Softness Inside the Shoes .,3 (In Stock); 4 (In Stock); 5 (In Stock); 6 (In Stock),
sneakers,Nike,Men Perforated Air Force 1 '07 Sneakers,https://www.myntra.com/casual-shoes/nike/nike-men-perforated-air-force-1-07-sneakers/13327736/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13327736/2024/2/9/ad5d48f4-311e-428d-91a5-be152a223a3e1707475060890-Nike-Men-Perforated-Air-Force-1-07-Sneakers-2361707475060603-1.jpg",MRP,MRP₹ 7495,"4.5
|
2.5k Ratings","#N i k e ""Thanks to Myntra"" Air Force 1 is best 👌 no doubt the leather quality of this shoes is top notch, recieved original shoes also the box recieved in good condition !! Myntra..it's request improve the time period of delivery !!",5.5 (In Stock); 6 (In Stock); 7 (In Stock); 8 (In Stock); 9 (In Stock); 10 (In Stock); 11 (In Stock); 12 (In Stock),
sneakers,Red Tape,Men Colourblocked Sneakers,https://www.myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-sneakers/33071259/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MARCH/6/a9zUEkS3_731e960429c049aa9b4306830b76c153.jpg",MRP ₹6299,₹1196,"4.4
|
162 Ratings","Red Tape shoes are generally considered a budget-friendly brand offering a balance of style and comfort. Reviews indicate they are often a good value for money, especially for casual wear and everyday use. However, some reviewers note that the quality of materials and durability may not be as high as more premium brands.",6 (In Stock); 7 (In Stock); 8 (In Stock); 9 (In Stock); 10 (In Stock),
sneakers,Red Tape,edge elevate series Men Colourblocked Sneakers,https://www.myntra.com/casual-shoes/red+tape/red-tape-edge-elevate-series-men-colourblocked-sneakers/34725035/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JUNE/5/11DNY9cP_e7e1130e436d444aad9f504257cf367b.jpg",MRP ₹7699,₹1462,"4.5
|
59 Ratings","These RedTape sneakers look stylish and modern with a clean white-grey design. They’re comfortable, well-cushioned, and perfect for daily wear. The build quality feels solid, and the breathable material adds to the comfort. A great choice for casual and sporty outfits.",6 (In Stock); 7 (In Stock); 8 (In Stock); 9 (In Stock); 10 (In Stock),
blue linen pants,TWIN BIRDS,Womens Navy Blue Cotton Linen Solid Straight Pants,https://www.myntra.com/trousers/twin+birds/twin-birds-womens-navy-blue-cotton-linen-solid-straight-pants/35084349/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/35084349/2025/6/23/32990ff5-5be7-4454-a3e7-b3cc520cea581750669499586-TWIN-BIRDS-Women-High-Rise-Pleated-Trousers-8441750669499063-1.jpg",MRP,MRP₹ 799,N/A,No reviews,28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock),
blue linen pants,JAINISH,Jainish Men Blue Linen Cotton Slim Fit Lounge Pants,https://www.myntra.com/lounge-pants/jainish/jainish-men-blue-linen-cotton-slim-fit-lounge-pants/15391570/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15391570/2021/9/7/4e5055e6-1b01-4f99-9181-e11adb1342c41631009417360JainishMensLinenCottonLoungePants1.jpg",MRP ₹1499,₹494,"4
|
21 Ratings",It is an amazing lounge pant in linen. Very very good quality material and fits great. Make sure to buy atleast 2 sizes bigger for greater comfort. Am definitely going to buy more colors in this one. ? | So smooth and gently fit... Like to wear this product. before it's too loose down side but after fitting it's good ... Nice one 👍go for it | They did not mentioned that you have to dry clean it! Fabric is amazing Fit is okey I recomend one size bigger for comfort,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock),
blue linen pants,NEVER NEUD,Men Relaxed Fancy Linen Trousers,https://www.myntra.com/trousers/never+neud/never-neud-men-relaxed-fancy-linen-trousers/32543551/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/29/nyyRau2d_38cfb84cc4c14e819c4efb3113631c5d.jpg",MRP ₹2799,₹1147,N/A,"Not like what look in the picture, stuff was not of good quality",28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock),
blue linen pants,DAMENSCH,Premium Cotton-Linen Lounge Pant,https://www.myntra.com/lounge-pants/damensch/damensch-premium-cotton-linen-lounge-pant/28952912/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28952912/2024/5/31/dc45ed5a-5e5b-4652-81ac-49e09bce96201717151674282-DAMENSCH-Premium-Cotton-Linen-Lounge-Pant-41717151673840-1.jpg",MRP ₹1799,₹1601,"3.9
|
38 Ratings","The product is very lightweight and comfortable. After using this product for 1 week now I recommend this to all my kiths and kins. | Received the product today and totally loved it. The color, finish and the stitching is flawless. It’s same as shown in Myntra product images. Feels very comfortable to wear and breathable. | This is amaging product.cloth is verry cool and light weight.its a comfortable give verry filings filing.i am verry happy with this product",L (In Stock); XL (In Stock); XXL (In Stock),
