search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes
blue linen pants,MIRIPRET,Marilyn Blue Linen Pant,https://www.nykaafashion.com/miripret-marilyn-blue-linen-pant/p/15433488,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/c/8cf7d56BW001_4.jpg,N/A,N/A,N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
blue linen pants,Cover Story,Womens Blue Linen Wide Leg Trouser,https://www.nykaafashion.com/cover-story-womens-blue-linen-wide-leg-trouser/p/16476742,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/3/1327fd7TRFL03UB7225BE_1.jpg,₹837,"2,790",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,NEOFAA,Vintage Pink Floral Blazer for Women,https://www.nykaafashion.com/neofaa-vintage-pink-floral-blazer-for-women/p/18755409,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/5/75df841JKT00129_1.jpg,N/A,N/A,N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock); 4XL (In Stock); 5XL (In Stock); 6XL (In Stock); 7XL (In Stock); 8XL (In Stock); 9XL (In Stock)
pink blazer for women,Van Heusen,Women Pink Solid Blazer,https://www.nykaafashion.com/van-heusen-women-pink-solid-blazer/p/16628080,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/8/1881c17VWBZFRGFL54661_0.jpg,"₹3,180","5,299",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,Madame,Lapel Collar Hot Pink Lace Fabric Blazer,https://www.nykaafashion.com/madame-lapel-collar-hot-pink-lace-fabric-blazer/p/14857652,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/9/2/92b46ceM4S32007-HOTPINK_1.jpg,"₹1,850","3,699",N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,Allen Solly,Women Pink Solid Casual Blazer,https://www.nykaafashion.com/allen-solly-women-pink-solid-casual-blazer/p/11981182,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/2/1/2112c2fAHBZWRGFO23833_1.jpg,"₹3,600","5,999",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,FableStreet,Pink Solid Blazer,https://www.nykaafashion.com/fablestreet-pink-solid-jacket/p/1872359,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/a/6a9aac9FBS01256_1.jpg,"₹3,033","4,595",4.4,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,TOKYO TALKIES,Pink Self-Designed Double-Breasted Longline Casual Blazer,https://www.nykaafashion.com/tokyo-talkies-pink-self-designed-double-breasted-longline-casual-blazer/p/21158839,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/3/2/3265eacTTBL000024_1.jpg,"₹2,000","4,999",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,Sage By Mala,Pink Rose Blazer,https://www.nykaafashion.com/sage-by-mala-pink-rose-blazer/p/19083997,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/7/77d2dcbRoseBBlazer_1.jpg,"₹3,246","3,490",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock); 4XL (In Stock); 5XL (In Stock)
pink blazer for women,KOTTY,Women's Solid Single Breasted Casual Blazer Pink,https://www.nykaafashion.com/kotty-women-s-solid-single-breasted-casual-blazer-pink/p/14195203,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/9/8/98f01dcKTTWOMENSBLAZER41_MelonPink_1.jpg,₹500,"1,999",N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,FableStreet,Dusty Pink Linen Single Breasted Blazer,https://www.nykaafashion.com/fablestreet-dusty-pink-linen-single-breasted-blazer/p/15667747,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/b/6b0a043FSJK195DSPK_1.jpg,"₹3,309","4,795",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
pink blazer for women,Saltpetre,Women Linen Cotton Pink Shawl Collar Blazer,https://www.nykaafashion.com/saltpetre-women-linen-cotton-pink-shawl-collar-blazer/p/20992766,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/6/46c7c6dSPWWJ4PNKCTNLN_1.jpg,N/A,N/A,N/A,No reviews,XXS (In Stock); XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock)
